~product~product_code~product_category~product_subcategory
287~Refresco Coca-Cola Zero Zero~26997~Agua y refrescos >~Refresco de cola
288~Refresco Coca-Cola Zero Zero~27559~Agua y refrescos >~Refresco de cola
289~Refresco Coca-Cola Zero Zero~28180~Agua y refrescos >~Refresco de cola
290~Refresco Coca-Cola Zero Zero~27462~Agua y refrescos >~Refresco de cola
291~Refresco cola Hacendado Zero azúcar~29073~Agua y refrescos >~Refresco de cola
292~Refresco cola Hacendado Zero azúcar~29033~Agua y refrescos >~Refresco de cola
293~Refresco cola Hacendado Zero azúcar~29034~Agua y refrescos >~Refresco de cola
294~Refresco cola Hacendado Zero azúcar Zero cafeína~29074~Agua y refrescos >~Refresco de cola
295~Refresco cola Hacendado Zero azúcar Zero cafeína~29035~Agua y refrescos >~Refresco de cola
296~Refresco cola Hacendado Zero azúcar Zero cafeína~29036~Agua y refrescos >~Refresco de cola
297~Refresco cola Pepsi Max zero~23898~Agua y refrescos >~Refresco de cola
298~Refresco Coca-Cola Zero Zero~26997~Agua y refrescos >~Refresco de cola
299~Refresco Coca-Cola Zero Zero~27559~Agua y refrescos >~Refresco de cola
300~Refresco Coca-Cola Zero Zero~28180~Agua y refrescos >~Refresco de cola
301~Refresco Coca-Cola Zero Zero~27462~Agua y refrescos >~Refresco de cola
302~Refresco Coca-Cola sin cafeína~27424~Agua y refrescos >~Refresco de cola
303~Refresco Coca-Cola sin cafeína~27446~Agua y refrescos >~Refresco de cola
304~Refresco cola Hacendado Zero azúcar Zero cafeína~29074~Agua y refrescos >~Refresco de cola
305~Refresco cola Hacendado Zero azúcar Zero cafeína~29035~Agua y refrescos >~Refresco de cola
306~Refresco cola Hacendado Zero azúcar Zero cafeína~29036~Agua y refrescos >~Refresco de cola
307~Refresco Fanta limón~13817~Agua y refrescos >~Refresco de naranja y de limón
308~Refresco Fanta limón~27602~Agua y refrescos >~Refresco de naranja y de limón
309~Refresco Fanta limón zero azúcares añadidos~27608~Agua y refrescos >~Refresco de naranja y de limón
310~Refresco de limón Hacendado fresh gas~29077~Agua y refrescos >~Refresco de naranja y de limón
311~Refresco de limón Hacendado fresh gas~29043~Agua y refrescos >~Refresco de naranja y de limón
312~Refresco de limón Hacendado fresh gas~29044~Agua y refrescos >~Refresco de naranja y de limón
313~Refresco de limón Hacendado zero azúcar fresh gas~29078~Agua y refrescos >~Refresco de naranja y de limón
314~Refresco de limón Hacendado zero azúcar fresh gas~29045~Agua y refrescos >~Refresco de naranja y de limón
315~Refresco de limón Hacendado zero azúcar fresh gas~29046~Agua y refrescos >~Refresco de naranja y de limón
